"species_dnr_data_name","species_dnr_site_name","color","wikipedia_link","wikipedia_thumb"
"Absinthe wormwood",,,"http://en.wikipedia.org/wiki/Absinthe_wormwood",
"alewife",,,"http://en.wikipedia.org/wiki/Alewife",
"Alyssum, Hoary","Hoary alyssum",,"http://en.wikipedia.org/wiki/Berteroa_incana",
"Barberry, Japanese","Japanese barberry",,"http://en.wikipedia.org/wiki/Japanese_barberry",
"bighead carp","Bighead & silver carp",,"http://en.wikipedia.org/wiki/Bighead_carp",
"Bittercress, Narrowleaf",,,"http://en.wikipedia.org/wiki/Cardamine",
"Bittersweet, Asian","Oriental bittersweet",,"http://en.wikipedia.org/wiki/Oriental_bittersweet",
"Black Locust","Black locust",,"http://en.wikipedia.org/wiki/Black_locust",
"Buckthorn, Common","Buckthorn",,"http://en.wikipedia.org/wiki/Buckthorn",
"Buckthorn, Glossy","Buckthorn",,"http://en.wikipedia.org/wiki/Buckthorn",
"Burdock",,,"http://en.wikipedia.org/wiki/Burdock",
"Butter and Eggs","Butter and eggs",,"http://en.wikipedia.org/wiki/Linaria_vulgaris",
"Creeping Charlie","Creeping Charlie",,"http://en.wikipedia.org/wiki/Creeping_Charlie",
"curly-leaf pondweed","Curly-leaf pondweed",,"http://en.wikipedia.org/wiki/Curly-leaf_pondweed",
"Daisy, Oxeye","Oxeye daisy",,"http://en.wikipedia.org/wiki/Oxeye_daisy",
"Dame's rocket",,,"http://en.wikipedia.org/wiki/Dame%27s_rocket",
"Elecampane, British",,,"http://en.wikipedia.org/wiki/Elecampane",
"Elm, Siberian","Siberian elm",,"http://en.wikipedia.org/wiki/Siberian_Elm",
"Eurasian watermilfoil","Eurasian watermilfoil",,"http://en.wikipedia.org/wiki/Eurasian_watermilfoil",
"False spiraea",,,"http://en.wikipedia.org/wiki/False_Spirea",
"flowering rush","Flowering rush",,"http://en.wikipedia.org/wiki/Flowering_rush",
"Foxglove, Grecian","Grecian foxglove",,"http://en.wikipedia.org/wiki/Grecian_Foxglove",
"Garlic Mustard","Garlic mustard",,"http://en.wikipedia.org/wiki/Garlic_mustard",
"goldfish",,,"http://en.wikipedia.org/wiki/Goldfish",
"grass carp","Grass carp",,"http://en.wikipedia.org/wiki/Grass_carp",
"Grass, Amur silver","Amur silver grass",,"http://en.wikipedia.org/wiki/Amur_silver-grass",
"Grass, Cheat",,,"http://en.wikipedia.org/wiki/Cheat_grass","http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Illustration_Bromus_tectorum0.jpg/220px-Illustration_Bromus_tectorum0.jpg"
"Grass, Kentucky bluegrass",,,"http://en.wikipedia.org/wiki/Kentucky_bluegrass",
"Grass, Reed canary","Reed canary grass",,"http://en.wikipedia.org/wiki/Reed_canary_grass","http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Phalaris_arundinacea_1.jpg/220px-Phalaris_arundinacea_1.jpg"
"Grass, Smooth brome","Smooth brome grass",,"http://en.wikipedia.org/wiki/Bromus",
"Hawkweed, Orange","Orange hawkweed",,"http://en.wikipedia.org/wiki/Orange_hawkweed",
"Heterosporis",,,"http://en.wikipedia.org/wiki/List_of_Microsporidian_genera","http://images.dnr.state.mn.us/natural_resources/animals/fish/diseases/heterosporis_01.jpg"
"Hogweed, Giant",,,"http://en.wikipedia.org/wiki/Hogweed,_Giant","http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Reuzenbereklauw.JPG/220px-Reuzenbereklauw.JPG"
"Honeysuckle, Exotic","Exotic honeysuckles",,"http://en.wikipedia.org/wiki/Lonicera_tatarica",
"Iris, Yellow","Yellow iris",,"http://en.wikipedia.org/wiki/Yellow_iris",
"Japanese Barberry","Japanese barberry",,"http://en.wikipedia.org/wiki/Japanese_barberry",
"Knapweed, Diffuse",,,"http://en.wikipedia.org/wiki/Diffuse_knapweed",
"Knapweed, Spotted","Spotted knapweed",,"http://en.wikipedia.org/wiki/Spotted_knapweed",
"Knotweed, Giant",,,"http://en.wikipedia.org/wiki/Giant_knotweed",
"Knotweed, Japanese","Japanese knotweed",,"http://en.wikipedia.org/wiki/Japanese_knotweed",
"Largemouth Bass Virus (LMBV)",,,"http://en.wikipedia.org/wiki/Largemouth_bass",
"Leafy Spurge","Leafy spurge",,"http://en.wikipedia.org/wiki/Leafy_spurge",
"Locust, Black","Black locust",,"http://en.wikipedia.org/wiki/Black_locust",
"Loosestrife, Purple","Purple loosestrife",,"http://en.wikipedia.org/wiki/Purple_loosestrife",
"Maple, Amur","Amur maple",,"http://en.wikipedia.org/wiki/Amur_maple",
"Maple, Norway","Norway maple",,"http://en.wikipedia.org/wiki/Norway_maple",
"Mullein, Common",,,"http://en.wikipedia.org/wiki/Common_Mullein",
"Mustard, Garlic","Garlic mustard",,"http://en.wikipedia.org/wiki/Garlic_mustard",
"Olive, Autumn",,,"http://en.wikipedia.org/wiki/Autumn_olive",
"Olive, Russian","Russian olive",,"http://en.wikipedia.org/wiki/Russian_olive",
"Parsnip, Wild","Wild parsnip",,"http://en.wikipedia.org/wiki/Parsnip",
"Peashrub, Siberian",,,"http://en.wikipedia.org/wiki/Caragana_arborescens",
"Phragmites (Haplotype M)","Non-native phragmites",,"http://en.wikipedia.org/wiki/Phragmites",
"Poison ivy",,,"http://en.wikipedia.org/wiki/Poison_ivy",
"purple loosestrife","Purple loosestrife",,"http://en.wikipedia.org/wiki/Purple_loosestrife",
"Purple Loosestrife","Purple loosestrife",,"http://en.wikipedia.org/wiki/Purple_loosestrife",
"Queen Ann's Lace","Queen Ann's lace",,"http://en.wikipedia.org/wiki/Ammi_majus",
"rainbow smelt",,,"http://en.wikipedia.org/wiki/Rainbow_smelt",
"Reed Canary Grass","Reed canary grass",,"http://en.wikipedia.org/wiki/Reed_canary_grass","http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Phalaris_arundinacea_1.jpg/220px-Phalaris_arundinacea_1.jpg"
"Rose, Multi-Flora","Multiflora rose",,"http://en.wikipedia.org/wiki/Multiflora_rose",
"round goby","Round goby",,"http://en.wikipedia.org/wiki/Round_goby",
"ruffe","Ruffe",,"http://en.wikipedia.org/wiki/Ruffe",
"Russian Olive","Russian olive",,"http://en.wikipedia.org/wiki/Russian_olive",
"sea lamprey","Sea lamprey",,"http://en.wikipedia.org/wiki/Sea_lamprey",
"Siberian Elm","Siberian elm",,"http://en.wikipedia.org/wiki/Siberian_Elm",
"Siberian Pea Shrub","Siberian peashrub",,"http://en.wikipedia.org/wiki/Caragana_arborescens",
"spiny waterflea","Spiny water flea",,"http://en.wikipedia.org/wiki/Spiny_water_flea",
"Spurge, Cypress",,,"http://en.wikipedia.org/wiki/Cypress_Spurge",
"Spurge, Leafy","Leafy spurge",,"http://en.wikipedia.org/wiki/Leafy_spurge",
"St. John's-Wort, Common",,,"http://en.wikipedia.org/wiki/St_John%27s_wort",
"Sweetclover, White","White and yellow sweet clover",,"http://en.wikipedia.org/wiki/Sweet_clover",
